mobility,n_uavs,alpha,avg_rate_mbps,crb_rmse_m
static,1,0.1,131.4532,2.2048
static,1,0.2,117.4509,1.0459
static,1,0.3,103.0139,0.6652
static,1,0.4,76.1095,0.3650
static,1,0.5,59.9703,0.2771
static,1,0.6,45.4333,0.2288
static,1,0.7,32.4094,0.2026
static,1,0.8,20.6581,0.1897
static,1,0.9,9.9260,0.1854
mobile_users,1,0.1,131.9071,2.1032
mobile_users,1,0.2,118.1886,1.0042
mobile_users,1,0.3,103.9132,0.6432
mobile_users,1,0.4,75.6213,0.3561
mobile_users,1,0.5,59.6566,0.2728
mobile_users,1,0.6,45.3015,0.2270
mobile_users,1,0.7,32.3947,0.2020
mobile_users,1,0.8,20.6955,0.1897
mobile_users,1,0.9,9.9625,0.1855
mobile_targets,1,0.1,131.0292,2.7321
mobile_targets,1,0.2,116.7828,1.3298
mobile_targets,1,0.3,102.3307,0.8641
mobile_targets,1,0.4,87.5649,0.6311
mobile_targets,1,0.5,65.6469,0.4181
mobile_targets,1,0.6,42.4423,0.2508
mobile_targets,1,0.7,30.2084,0.2284
mobile_targets,1,0.8,19.2362,0.2220
mobile_targets,1,0.9,9.2405,0.2258
mobile_both,1,0.1,131.2467,2.9435
mobile_both,1,0.2,116.6172,1.3685
mobile_both,1,0.3,101.3540,0.8543
mobile_both,1,0.4,78.7394,0.5413
mobile_both,1,0.5,56.5265,0.3447
mobile_both,1,0.6,43.0027,0.2797
mobile_both,1,0.7,30.8259,0.2446
mobile_both,1,0.8,19.7187,0.2276
mobile_both,1,0.9,9.4930,0.2221
static,2,0.1,138.8013,1.7907
static,2,0.2,123.8475,0.5918
static,2,0.3,107.1445,0.3318
static,2,0.4,90.5972,0.2061
static,2,0.5,74.3776,0.1363
static,2,0.6,58.5805,0.0931
static,2,0.7,43.2537,0.0659
static,2,0.8,28.3990,0.0487
static,2,0.9,13.9267,0.0388
mobile_users,2,0.1,138.6242,1.8858
mobile_users,2,0.2,126.7125,0.6049
mobile_users,2,0.3,109.8202,0.3344
mobile_users,2,0.4,93.0467,0.2070
mobile_users,2,0.5,76.5231,0.1359
mobile_users,2,0.6,59.9454,0.0846
mobile_users,2,0.7,44.3562,0.0608
mobile_users,2,0.8,29.0060,0.0503
mobile_users,2,0.9,14.4180,0.0380
mobile_targets,2,0.1,138.7859,2.6499
mobile_targets,2,0.2,122.9056,1.2874
mobile_targets,2,0.3,107.0256,0.8189
mobile_targets,2,0.4,91.3273,0.4699
mobile_targets,2,0.5,75.8835,0.1628
mobile_targets,2,0.6,59.8128,0.1072
mobile_targets,2,0.7,44.2003,0.0725
mobile_targets,2,0.8,29.0533,0.0512
mobile_targets,2,0.9,14.3180,0.0387
mobile_both,2,0.1,140.0082,2.7110
mobile_both,2,0.2,127.1601,0.7973
mobile_both,2,0.3,109.7401,0.4334
mobile_both,2,0.4,92.0965,0.2614
mobile_both,2,0.5,74.6700,0.1660
mobile_both,2,0.6,57.8280,0.1087
mobile_both,2,0.7,41.8234,0.0729
mobile_both,2,0.8,26.7233,0.0502
mobile_both,2,0.9,12.8930,0.0385
